,MLR_C,Ridge_C,Lasso_C,Elastic_C,RF_Feature_Importance,Feature_Name
0,0.13240359570968604,0.1331666094154785,0.15466130442168718,0.24450427016766388,0.0722946821499854,sm_Relative H
1,-8.792576379884592,-8.68130919849534,-0.0,-0.32504647031338346,0.050732251800829874,sm_Precipitat
2,-17.970482469274447,-17.867375155101314,-12.363340419963107,-4.432499381254269,0.11078143852469587,sm_Wind Speed
3,1.2323361081123487,1.2356337947836133,1.4160859195809672,1.7066565096376924,0.11364131248415592,sm_Atmospheri
4,-0.4943567064997596,-0.4948001986825712,-0.5345634214581934,-0.6127389768456944,0.03910945508387623,sm_Net Radiat
5,0.038581564378303485,0.03891464156321202,0.04858412636681437,0.07162156826573757,0.04947323869372554,sm_Wind Direc
6,0.27720661988130657,0.2778915978737455,0.3295584546468281,0.36820993064026947,0.03854257729952493,sm_Global Rad
7,-5.280813505727692,-5.281926549178282,-5.087806820536426,-4.584982456637593,0.07390225013417218,sm_Temperatur
8,0.0066747421619783864,0.006682031610938435,0.0072704836414695505,0.007718518247216458,0.05675389549391293,sm_traffic
9,0.00851504320542551,0.00844445706739462,-0.001842081266634766,-0.001051928851481146,0.01907260276137932,0-15m
10,0.02234055651915612,0.02231483816691471,0.012953885838331061,0.01522799589527263,0.011756937360477827,15-30m
11,0.0038419171422658938,0.003790062082888679,-0.0034231312513903177,-0.0021306381688025204,0.012235122111368244,30-45m
12,0.026048673470995487,0.02616764871323759,0.01978104076204638,0.02239843886779579,0.010090782739964454,45-60m
13,0.435460963861941,0.4228578651798595,0.10221504216370612,0.0858941489470307,0.0167161167053212,EURO_3
14,0.5232219772708975,0.5094681297352424,0.16913377347204114,0.1596208430508552,0.024466583782633253,EURO_2
15,0.3490609227727003,0.335589760958475,0.005120016299601355,0.001169466468402256,0.013996651532123669,EURO_4
16,0.2651609543856146,0.2518270334553476,-0.06922138483034712,-0.07093454469076282,0.010104051084396656,EURO_5
17,0.037443062773415414,0.023165462184938507,-0.3420880677637992,-0.34287100428994227,0.01316895286397623,EURO_1
18,0.35092192945781164,0.33784282292041234,0.027101701443990323,0.02628082553523469,0.013111261059935524,EURO_6
19,0.3888411469970181,0.37566039503567134,0.08334851431193752,0.07932078556608728,0.013119761834562167,EURO_7
20,-5.394099226443131,-4.569641805769885,-0.004019692142433294,-0.0036659457845210344,0.013368336393708036,VType_4
21,-5.343473883525637,-4.518921578041322,0.04354864526217344,0.04088205593531965,0.020628752301213388,VType_3
22,-5.374241105328938,-4.550078267649823,0.042692885535019875,0.05795787783285092,0.012722138668057045,VType_1
23,-5.580291218097148,-4.756183199633201,-0.1360885464123881,-0.11394952936859393,0.015436075304963553,VType_2
24,5.056461124359046,4.244914023365822,0.008734564686313673,0.004746254255882208,0.011968311407302727,FType_1
25,5.014037807813001,4.202033869245012,-0.012823238085687198,-0.007701130625604434,0.017857703418284306,FType_2
26,4.944520113995933,4.132668855016014,-0.0938026228079106,-0.09889021087407826,0.020197067954261735,FType_4
27,5.187939677348155,4.3764276521520635,0.14130091963207872,0.12744970388492496,0.031981864644248605,FType_5
28,3.9062197288120593,3.0806216635566117,-1.4685929981753203,-1.4836352359967424,0.010408961240610002,FType_3
29,0.05413119317341075,0.05571457474269455,0.008146409031059211,0.008549749871121044,0.008499694488242893,DPF_2
30,0.08560243761244613,0.08762000359706257,0.017551609856655503,0.01796937303672775,0.012338943719685375,DPF_1
31,-0.12298212913464068,-0.12425549081839063,-0.055942633317644055,-0.05110666971470246,0.033821661202862,small_len
32,-0.03638792286167303,-0.037571678826890734,0.002505602235339364,0.0013651799690210568,0.008252462577365213,med_len
33,-12.857469348218311,-12.684896843463472,-2.896723510746421,-0.7962452592909519,0.01266994265632095,weekend
34,-3.771827431114572,-3.8146488122334143,-0.0,-0.0,0.002348153760171387,morning
35,1.3576640815895087,1.2265589601130575,-0.0,-0.0,0.0030732689105142583,mid_day
36,7.054529803057651,6.8921295936970965,0.0,0.0,0.0013567358511710783,evening
